category,recommendation_rate
Skirts,0.838973162193699
Fine gauge,0.8356299212598425
Trend,0.7264150943396226
Casual bottoms,1.0
Intimates,0.8513513513513513
Dresses,0.8070237050043898
Outerwear,0.8181818181818182
Sleep,0.8486238532110092
Jeans,0.8932692307692308
Shorts,0.8451178451178452
Layering,0.8865248226950354
Blouses,0.8132530120481928
Lounge,0.8575899843505478
Sweaters,0.7963936889556724
Jackets,0.8484375
Swim,0.7929936305732485
Pants,0.8296178343949044
Knits,0.8172498328504568
Legwear,0.8571428571428571
Chemises,1.0
